;State;City;Year;Population;"Violent
crime";Murder;Rape;Robbery;"Aggravated
assault";"Property
crime";Burglary;"Larceny and
theft";"Motor
vehicle
theft";Arson
0;MONTANA;BILLINGS;2014;110245;195;2;41;28;124;2345;326;1758;261;3
1;MONTANA;BILLINGS;2015;110245;233;2;30;40;161;2369;295;1662;412;6
2;NEBRASKA;LINCOLN;2014;271208;445;4;76;99;266;4212;628;3442;142;33
3;NEBRASKA;LINCOLN;2015;271208;471;0;83;104;284;4226;625;3432;169;38
4;NEVADA;HENDERSON;2014;274121;198;1;33;69;95;2725;692;1788;245;11
5;NEVADA;HENDERSON;2015;274121;229;1;51;83;94;2677;679;1731;267;7
6;NEVADA;NORTH LAS VEGAS;2014;229436;877;4;40;223;610;2795;1019;1335;441;10
7;NEVADA;NORTH LAS VEGAS;2015;229436;995;5;45;223;722;2614;897;1282;435;7
8;NEVADA;RENO;2014;235055;530;3;60;141;326;3144;626;2180;338;7
9;NEVADA;RENO;2015;235055;618;9;67;145;397;3573;662;2460;451;3
10;NEW HAMPSHIRE;MANCHESTER;2014;110571;342;3;25;110;204;1855;357;1415;83;12
11;NEW HAMPSHIRE;MANCHESTER;2015;110571;320;2;37;112;169;2098;360;1639;99;13
12;NEW JERSEY;EDISON TOWNSHIP;2014;101965;46;0;2;25;19;541;146;346;49;6
13;NEW JERSEY;EDISON TOWNSHIP;2015;101965;46;0;1;21;24;570;103;427;40;7
14;NEW JERSEY;ELIZABETH;2014;128345;504;5;13;281;205;1724;364;960;400;5
15;NEW JERSEY;ELIZABETH;2015;128345;484;8;23;242;211;1744;325;1038;381;6
16;NEW JERSEY;JERSEY CITY;2014;260005;621;13;16;272;320;1983;441;1266;276;20
17;NEW JERSEY;JERSEY CITY;2015;260005;636;8;51;253;324;1898;390;1237;271;35
18;NEW JERSEY;NEWARK;2014;279110;1355;43;21;891;400;3743;828;1824;1091;21
19;NEW JERSEY;NEWARK;2015;279110;1401;42;43;861;455;3696;800;1621;1275;9
20;NEW JERSEY;PATERSON;2014;146083;572;9;9;286;268;1856;556;958;342;8
21;NEW JERSEY;PATERSON;2015;146083;465;7;18;206;234;1853;616;905;332;4
22;NEW JERSEY;WOODBRIDGE TOWNSHIP;2014;100969;53;0;3;25;25;932;119;770;43;3
23;NEW JERSEY;WOODBRIDGE TOWNSHIP;2015;100969;46;0;0;22;24;722;103;570;49;1
24;NEW MEXICO;ALBUQUERQUE;2014;558874;2367;12;197;619;1539;15064;3095;10248;1721;46
25;NEW MEXICO;ALBUQUERQUE;2015;558874;2691;23;199;861;1608;15853;2903;10755;2195;46
26;NEW YORK;AMHERST TOWN;2014;118860;64;1;5;22;36;905;71;815;19;2
27;NEW YORK;AMHERST TOWN;2015;118860;56;0;7;19;30;812;81;708;23;6
28;NEW YORK;BUFFALO;2014;258419;1507;19;76;605;807;5876;1435;3941;500;0
29;NEW YORK;BUFFALO;2015;258419;1297;12;87;457;741;4904;1040;3379;485;70
30;NEW YORK;NEW YORK;2014;8473938;24191;146;1075;7691;15279;63155;7433;52230;3492;0
31;NEW YORK;NEW YORK;2015;8473938;23225;164;1082;7598;14381;60300;6410;50526;3364;0
32;NEW YORK;ROCHESTER;2014;210347;776;19;93;286;378;3874;826;2746;302;50
33;NEW YORK;ROCHESTER;2015;210347;853;15;65;287;486;3575;696;2502;377;44
34;NEW YORK;SYRACUSE;2014;144534;526;6;33;164;323;2682;665;1890;127;24
35;NEW YORK;SYRACUSE;2015;144534;528;8;34;191;295;2361;530;1690;141;19
36;NEW YORK;YONKERS;2014;200624;475;2;10;152;311;928;190;652;86;10
37;NEW YORK;YONKERS;2015;200624;447;3;23;161;260;980;194;644;142;6
38;NORTH CAROLINA;CARY;2014;154978;55;3;5;18;29;827;164;642;21;4
39;NORTH CAROLINA;CARY;2015;154978;31;2;4;9;16;919;169;718;32;2
40;NORTH CAROLINA;DURHAM;2014;249738;923;9;34;299;581;5187;1729;3162;296;9
41;NORTH CAROLINA;DURHAM;2015;249738;1069;15;29;360;665;5377;1670;3395;312;16
42;NORTH CAROLINA;GREENSBORO;2014;282203;619;6;28;209;376;5016;1260;3523;233;61
43;NORTH CAROLINA;GREENSBORO;2015;282203;739;11;35;217;476;4812;1068;3505;239;52
44;NORTH CAROLINA;HIGH POINT;2014;108540;236;3;12;64;157;1873;510;1255;108;13
45;NORTH CAROLINA;HIGH POINT;2015;108540;309;2;18;99;190;1683;333;1230;120;6
46;NORTH CAROLINA;WILMINGTON;2014;113418;367;5;17;112;233;2362;645;1565;152;12
47;NORTH CAROLINA;WILMINGTON;2015;113418;389;4;29;127;229;2441;627;1655;159;4
48;NORTH DAKOTA;FARGO;2014;115686;187;3;39;30;115;1303;210;1014;79;6
49;NORTH DAKOTA;FARGO;2015;115686;169;3;21;21;124;1528;318;1095;115;4
50;OHIO;AKRON;2014;197891;679;8;89;176;406;4007;1234;2536;237;30
51;OHIO;AKRON;2015;197891;597;11;77;200;309;3858;1111;2450;297;38
52;OHIO;CINCINNATI;2014;297671;1258;39;114;634;471;7663;2269;4874;520;158
53;OHIO;CINCINNATI;2015;297671;1287;38;99;601;549;7606;1979;5126;501;233
54;OHIO;CLEVELAND;2014;388655;2499;26;266;1408;799;9537;3113;4687;1737;138
55;OHIO;CLEVELAND;2015;388655;2390;37;215;1286;852;8537;2411;4509;1617;126
56;OHIO;COLUMBUS;2014;830811;2336;49;394;1035;858;16327;4073;10848;1406;0
57;OHIO;COLUMBUS;2015;830811;2237;37;346;1085;769;15537;3346;10678;1513;0
58;OHIO;DAYTON;2014;143217;619;17;74;267;261;3586;1166;2160;260;32
59;OHIO;DAYTON;2015;143217;650;10;70;230;340;3187;1095;1815;277;53
60;OHIO;TOLEDO;2014;281150;1390;11;113;414;852;0;2142;0;425;0
61;OHIO;TOLEDO;2015;281150;1444;5;116;431;892;5668;1769;3497;402;0
