,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
No.,,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
29,LeGarrette Blount,29,rb,12,6,165,703,6,38,4.3,58.6,13.8,7,6,43,7.2,1,14,0.5,3.6,746,7,1
38,Brandon Bolden,25,rb,15,2,63,207,0,14,3.3,13.8,4.2,30,19,180,9.5,2,63,1.3,12.0,387,2,0
33,Dion Lewis,25,rb,7,6,49,234,2,13,4.8,33.4,7.0,50,36,388,10.8,2,40,5.1,55.4,622,4,2
12,Tom Brady*,38,QB,16,16,34,53,3,13,1.6,3.3,2.1,1,1,36,36.0,0,36,0.1,2.3,89,3,6
28,James White,23,rb,14,1,22,56,2,8,2.5,4.0,1.6,54,40,410,10.3,4,68,2.9,29.3,466,6,0
39,Steven Jackson,32,rb,2,1,21,50,1,7,2.4,25.0,10.5,1,1,20,20.0,0,20,0.5,10.0,70,1,0
47,Joey Iosefa,24,,2,0,15,51,0,15,3.4,25.5,7.5,,,,,,,,,51,0,0
10,Jimmy Garoppolo,24,,5,0,5,-5,0,-1,-1.0,-1.0,1.0,,,,,,,,,-5,0,0
11,Julian Edelman,29,wr,9,9,3,23,0,12,7.7,2.6,0.3,88,61,692,11.3,7,59,6.8,76.9,715,7,1
80,Danny Amendola,30,wr,14,7,2,11,0,8,5.5,0.8,0.1,87,65,648,10.0,3,41,4.6,46.3,659,3,1
19,Brandon LaFell,29,wr,11,7,2,9,0,9,4.5,0.8,0.2,74,37,515,13.9,0,54,3.4,46.8,524,0,0
82,Keshawn Martin,25,wr,9,8,1,6,0,6,6.0,0.7,0.1,37,24,269,11.2,2,39,2.7,29.9,275,2,1
15,Damaris Johnson,26,,1,0,1,6,0,6,6.0,6.0,1.0,,,,,,,,,6,0,0
87,Rob Gronkowski*+,26,TE,15,15,0,0,0,0,,0.0,0.0,120,72,1176,16.3,11,76,4.8,78.4,1176,11,0
88,Scott Chandler,30,te,15,4,0,0,0,0,,0.0,0.0,42,23,259,11.3,4,30,1.5,17.3,259,4,0
17,Aaron Dobson,24,wr,8,3,0,0,0,0,,0.0,0.0,21,13,141,10.8,0,24,1.6,17.6,141,0,0
85,Michael Williams,25,te,15,9,0,0,0,0,,0.0,0.0,6,3,26,8.7,0,15,0.2,1.7,26,0,0
39,Travaris Cadet,26,,1,0,0,0,0,0,,0.0,0.0,1,1,2,2.0,0,2,1.0,2.0,2,0,0
44,Asante Cleveland,23,te,4,1,0,0,0,0,,0.0,0.0,1,1,1,1.0,0,1,0.3,0.3,1,0,0
14,Chris Harper,22,,5,0,0,0,0,0,,0.0,0.0,3,1,6,6.0,0,6,0.2,1.2,6,0,1
,Team Total,26.0,,16,,383,1404,14,38,3.7,87.8,23.9,624,404,4812,11.9,36,76,25.3,300.8,6216,50,14
,Opp Total,,,16,,397,1578,8,,4.0,98.6,24.8,,361,3852,10.7,24,,22.6,240.8,5430,32,29