Team, Address, City, State, Zip
Buffalo Bills,1 Bills Drive,Orchard Park, NY, 14127
Miami Dolphins,7500 S.W. 30th St.,Davie, FL, 33314
New England Patroits,CGMI Field,1 Patriot Place,Foxborough, MA, 02035
New York Jets,1000 Fulton Avenue,Hempstead, NY, 11550
Baltimore Ravens,11001 Owings Mills Blvd.,Owings Mills, MD, 21117
Cincinnati Bengals,1 Paul Brown Stadium,Cincinnati, OH, 45202
Cleveland Browns,76 Lou Groza Blvd.,Berea, OH, 44017
Pittsburgh Steelers3400 South Water Street,Pittsburgh, PA, 15203
Houston Texans,1 Reliant Park,Houston, TX, 77054
Indianapolis Colts,P.O. Box 535000,Indianapolis, IN, 46253
Jacksonville Jaguars,1 ALLTELL Stadium,Jacksonville, FL, 32202
Tennessee Titans,460 Green Circle Rd.,Nashville, TN, 37228
Denver Broncos,13665 Broncos Parkway,Englewood, CO, 80112
Kansas City Chiefs,1 Arrowhead Drive,Kansas City, MO, 64129
Oakland Raiders,1220 Harbor Bay Parkway,Alameda, CA, 94502
San Diego Chargers,4020 Murphy Canyon Rd.,San Diego, CA, 92123
Dallas Cowboys,1 Cowboys Parkway,Irving, TX, 75063
New York Giants,Giants Stadium ,East Rutherford, NJ, 07073
Philadelphia Eagles,NovaCare Complex,1 NovaCare Way,Philadelphia, PA, 19145
Washington Redskins,21300 Redskins Park Drive,Ashburn, VA, 20147
Chicago Bears,Halas Hall at Conway Park,1000 Football Drive,Lake Forest, IL, 60045
Detroit Lions,222 Republic Drive,Allen Park, MI, 48101
Green Bay Packers,1265 Lombardi Avenue,Green Bay, WI, 54304
Minnesota Vikings,9520 Viking Drive,Eden Prarie, MN, 55344
Atlanta Falcons,4400 Falcon Parkway,Flowery Branch, GA, 30542
Carolina Panthers,800 South Mint St.,Charlotte, NC, 28202
New Orleans Saints,5800 Airline Drive,Metairie, LA, 70003
Tampa Bay Buccaneers,1 Buccaneer Place,Tampa, FL, 33607
Arizona Cardinals,8701 South Hardy Drive,Tempe, AZ, 85824
San Francisco 49ers,4949 Centennial Blvd.,Santa Clara, CA, 95054
Seattle Seahawks,11220 NE 53rd St.,Kirkland, WA, 98033
St Louis Rams,1 Rams Way,St Louis, MO, 63045 